"unique_number","plot_no","treatment","plot_rep","matrix_no","species_code","species","sample_period","status","standing.height","height.mm","total.branch.length","biomass.g","stemdiam.mm","maxSpineLength.mm","postclipStemNo","date.clipped","date.measured","date.germinated","Age.of.plant","treatdate","Etreatdate","genus","MAR","rainclass"
341,"h3_2","3 month",2,"a5","vacsie","Vachellia_sieberiana","2 months post",1,"",340,1110,NA,NA,15,5,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
342,"h3_2","3 month",2,"a6","vackar","Vachellia_karroo(rbay)","2 months post",1,"",130,250,NA,NA,6,2,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
343,"h3_2","3 month",2,"b1","sennig","Senegalia_nigrescens","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
344,"h3_2","3 month",2,"b2","colmop","Colophospermum_mopane","2 months post",1,"",230,360,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
345,"h3_2","3 month",2,"b3","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
346,"h3_2","3 month",2,"b4","comapi","Combretum_apiculatum","2 months post",1,"",80,80,NA,NA,NA,1,"","15-Mar-17","12/09/2016",184,129,120,"Combretum",618,"med"
347,"h3_2","1 month",2,"b5","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
348,"h3_2","3 month",2,"b6","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
349,"h3_2","3 month",2,"c1","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
350,"h3_2","3 month",2,"c2","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
351,"h3_2","2 month",2,"c3","senmel","Senegalia_mellifera","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
352,"h3_2","3 month",2,"c4","comcol","Combretum_collinum","2 months post",1,"",160,280,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
353,"h3_2","3 month",2,"c5","colmop","Colophospermum_mopane","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
354,"h3_2","3 month",2,"c6","vacexu","Vachellia_exuvialis","2 months post",1,"",90,130,NA,NA,5,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
355,"h3_2","3 month",2,"d1","colmop","Colophospermum_mopane","2 months post",1,"",220,220,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
356,"h3_2","3 month",2,"d2","vackar","Vachellia_karroo(rbay)","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
357,"h3_2","3 month",2,"d3","comher","Combretum_hereroense","2 months post",1,"",150,280,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
358,"h3_2","3 month",2,"d4","vacsie","Vachellia_sieberiana","2 months post",1,"",200,320,NA,NA,14,2,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
359,"h3_2","3 month",2,"d5","commol","Combretum_molle","2 months post",1,"",120,230,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
360,"h3_2","1 month",2,"d6","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
361,"h3_2","3 month",2,"e1","comcol","Combretum_collinum","2 months post",1,"",120,210,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
362,"h3_2","3 month",2,"e2","commol","Combretum_molle","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
363,"h3_2","3 month",2,"e3","vaceri","Vachellia_erioloba","2 months post",1,"",250,410,NA,NA,5,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
364,"h3_2","3 month",2,"e4","sennig","Senegalia_nigrescens","2 months post",1,"",240,450,NA,NA,3,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
365,"h3_2","3 month",2,"e5","vackar","Vachellia_karroo(rbay)","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
366,"h3_2","3 month",2,"e6","vacsie","Vachellia_sieberiana","2 months post",1,"",180,180,NA,NA,7,1,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
367,"h3_2","1 month",2,"f1","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
368,"h3_2","3 month",2,"f2","vacsie","Vachellia_sieberiana","2 months post",1,"",300,800,NA,NA,17,3,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
369,"h3_2","3 month",2,"f3","vackar","Vachellia_karroo(rbay)","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
371,"h3_2","3 month",2,"f5","colmop","Colophospermum_mopane","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
372,"h3_2","3 month",2,"f6","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
373,"h3_2","3 month",2,"g1","comapi","Combretum_apiculatum","2 months post",1,"",90,230,NA,NA,NA,3,"","15-Mar-17","12/09/2016",184,129,120,"Combretum",618,"med"
374,"h3_2","3 month",2,"g2","sennig","Senegalia_nigrescens","2 months post",1,"",270,500,NA,NA,NA,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
376,"h3_2","3 month",2,"g4","vacexu","Vachellia_exuvialis","2 months post",1,"",140,430,NA,NA,6,4,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
377,"h3_2","3 month",2,"g5","sennig","Senegalia_nigrescens","2 months post",1,"",90,150,NA,NA,3,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
378,"h3_2","3 month",2,"g6","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
379,"h3_2","3 month",2,"h1","vacexu","Vachellia_exuvialis","2 months post",1,"",180,370,NA,NA,7,3,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
381,"h3_2","3 month",2,"h3","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
382,"h3_2","3 month",2,"h4","comcol","Combretum_collinum","2 months post",1,"",50,50,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
384,"h3_2","3 month",2,"h6","vaceri","Vachellia_erioloba","2 months post",1,"",200,360,NA,NA,9,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
385,"h3_3","3 month",3,"a1","colmop","Colophospermum_mopane","2 months post",1,"",300,300,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
386,"h3_3","3 month",3,"a2","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
387,"h3_3","3 month",3,"a3","sennig","Senegalia_nigrescens","2 months post",1,"",200,320,NA,NA,4,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
388,"h3_3","3 month",3,"a4","vacsie","Vachellia_sieberiana","2 months post",1,"",170,380,NA,NA,11,4,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
389,"h3_3","3 month",3,"a5","vackar","Vachellia_karroo(rbay)","2 months post",1,"",130,220,NA,NA,9,2,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
390,"h3_3","3 month",3,"a6","vaceri","Vachellia_erioloba","2 months post",1,"",170,260,NA,NA,6,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
391,"h3_3","3 month",3,"b1","comcol","Combretum_collinum","2 months post",1,"",100,100,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
392,"h3_3","3 month",3,"b2","comher","Combretum_hereroense","2 months post",1,"",40,70,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
393,"h3_3","3 month",3,"b3","vackar","Vachellia_karroo(rbay)","2 months post",1,"",180,330,NA,NA,7,2,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
394,"h3_3","3 month",3,"b4","vacexu","Vachellia_exuvialis","2 months post",1,"",15,15,NA,NA,NA,1,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
395,"h3_3","3 month",3,"b5","comher","Combretum_hereroense","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
396,"h3_3","3 month",3,"b6","commol","Combretum_molle","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
397,"h3_3","3 month",3,"c1","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
398,"h3_3","3 month",3,"c2","vacsie","Vachellia_sieberiana","2 months post",1,"",190,370,NA,NA,10,3,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
399,"h3_3","3 month",3,"c3","colmop","Colophospermum_mopane","2 months post",1,"",230,230,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
400,"h3_3","3 month",3,"c4","vackar","Vachellia_karroo(rbay)","2 months post",1,"",60,60,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
401,"h3_3","1 month",3,"c5","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
402,"h3_3","3 month",3,"c6","vacexu","Vachellia_exuvialis","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
403,"h3_3","3 month",3,"d1","vacexu","Vachellia_exuvialis","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
405,"h3_3","3 month",3,"d3","comapi","Combretum_apiculatum","2 months post",1,"",180,320,NA,NA,NA,2,"","15-Mar-17","12/09/2016",184,129,120,"Combretum",618,"med"
406,"h3_3","3 month",3,"d4","commol","Combretum_molle","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
407,"h3_3","3 month",3,"d5","vacsie","Vachellia_sieberiana","2 months post",1,"",150,290,NA,NA,10,2,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
408,"h3_3","3 month",3,"d6","sennig","Senegalia_nigrescens","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
409,"h3_3","3 month",3,"e1","vaceri","Vachellia_erioloba","2 months post",1,"",150,150,NA,NA,5,1,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
410,"h3_3","3 month",3,"e2","comher","Combretum_hereroense","2 months post",1,"",180,180,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
411,"h3_3","3 month",3,"e3","comcol","Combretum_collinum","2 months post",1,"",190,190,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
412,"h3_3","3 month",3,"e4","vacexu","Vachellia_exuvialis","2 months post",1,"",90,120,NA,NA,1,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",631,"med"
413,"h3_3","1 month",3,"e5","senmel","Senegalia_mellifera","2 months post",1,"",70,130,NA,NA,1,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
414,"h3_3","3 month",3,"e6","vacdav","Vachellia_davyi","2 months post",1,"",160,160,NA,NA,12,1,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
415,"h3_3","1 month",3,"f1","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
416,"h3_3","3 month",3,"f2","colmop","Colophospermum_mopane","2 months post",1,"",220,220,NA,NA,NA,1,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
417,"h3_3","3 month",3,"f3","vackar","Vachellia_karroo(rbay)","2 months post",0,"",NA,NA,NA,NA,4,NA,"","15-Mar-17","16/09/2016",180,125,120,"Vachellia",693,"med"
418,"h3_3","3 month",3,"f4","sennig","Senegalia_nigrescens","2 months post",1,"",180,350,NA,NA,14,2,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
419,"h3_3","3 month",3,"f5","vaceri","Vachellia_erioloba","2 months post",1,"",240,360,NA,NA,NA,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
420,"h3_3","3 month",3,"f6","comcol","Combretum_collinum","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
421,"h3_3","3 month",3,"g1","vacdav","Vachellia_davyi","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,129,120,"Vachellia",891,"high"
422,"h3_3","3 month",3,"g2","sennig","Senegalia_nigrescens","2 months post",1,"",200,720,NA,NA,4,4,"","15-Mar-17","08/09/2016",188,133,120,"Senegalia",673.5,"med"
375,"h3_2","1 month",2,"g3","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
423,"h3_3","3 month",3,"g3","vaceri","Vachellia_erioloba","2 months post",1,"",100,200,NA,NA,5,2,"","15-Mar-17","11/09/2016",185,130,120,"Vachellia",424,"low"
424,"h3_3","3 month",3,"g4","comcol","Combretum_collinum","2 months post",1,"",70,70,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",521,"low"
425,"h3_3","1 month",3,"g5","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
426,"h3_3","1 month",3,"g6","sencaf","Senegalia_caffra","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,82,60,"Senegalia",829.5,"high"
428,"h3_3","1 month",3,"h2","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
429,"h3_3","3 month",3,"h3","commol","Combretum_molle","2 months post",1,"",100,200,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,125,120,"Combretum",850,"high"
430,"h3_3","3 month",3,"h4","colmop","Colophospermum_mopane","2 months post",1,"",150,210,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,135,120,"Colophospermum",478.5,"low"
383,"h3_2","1 month",2,"h5","senmel","Senegalia_mellifera","2 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,91,60,"Senegalia",546,"low"
431,"h3_3","3 month",3,"h5","comher","Combretum_hereroense","2 months post",1,"",40,40,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,131,120,"Combretum",608.5,"med"
432,"h3_3","3 month",3,"h6","vacsie","Vachellia_sieberiana","2 months post",1,"",250,780,NA,NA,13,3,"","15-Mar-17","17/09/2016",179,124,120,"Vachellia",984,"high"
433,"h4_1","4 month",1,"a1","vacsie","Vachellia_sieberiana","1 month post",1,"",60,160,NA,NA,NA,3,"","15-Mar-17","17/09/2016",179,159,150,"Vachellia",984,"high"
434,"h4_1","2 month",1,"a2","senmel","Senegalia_mellifera","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
435,"h4_1","4 month",1,"a3","sennig","Senegalia_nigrescens","1 month post",1,"",50,90,NA,NA,3,2,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
436,"h4_1","4 month",1,"a4","comcol","Combretum_collinum","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",521,"low"
437,"h4_1","2 month",1,"a5","sencaf","Senegalia_caffra","1 month post",1,"",50,55,NA,NA,NA,2,"","15-Mar-17","29/10/2016",137,117,90,"Senegalia",829.5,"high"
438,"h4_1","4 month",1,"a6","sennig","Senegalia_nigrescens","1 month post",1,"",10,25,NA,NA,NA,3,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
439,"h4_1","4 month",1,"b1","vacdav","Vachellia_davyi","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Vachellia",891,"high"
440,"h4_1","4 month",1,"b2","vacexu","Vachellia_exuvialis","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",631,"med"
441,"h4_1","4 month",1,"b3","comher","Combretum_hereroense","1 month post",1,"",20,20,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
442,"h4_1","4 month",1,"b4","vackar","Vachellia_karroo(rbay)","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Vachellia",693,"med"
443,"h4_1","4 month",1,"b5","commol","Combretum_molle","1 month post",1,"",10,15,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",850,"high"
444,"h4_1","4 month",1,"b6","comher","Combretum_hereroense","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
445,"h4_1","4 month",1,"c1","vackar","Vachellia_karroo(rbay)","1 month post",1,"",80,250,NA,NA,5,4,"","15-Mar-17","16/09/2016",180,160,150,"Vachellia",693,"med"
447,"h4_1","4 month",1,"c3","colmop","Colophospermum_mopane","1 month post",1,"",50,100,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,170,150,"Colophospermum",478.5,"low"
448,"h4_1","4 month",1,"c4","vacsie","Vachellia_sieberiana","1 month post",1,"",70,170,NA,NA,4,3,"","15-Mar-17","17/09/2016",179,159,150,"Vachellia",984,"high"
449,"h4_1","4 month",1,"c5","vacsie","Vachellia_sieberiana","1 month post",1,"",120,490,NA,NA,13,5,"","15-Mar-17","17/09/2016",179,159,150,"Vachellia",984,"high"
450,"h4_1","4 month",1,"c6","vackar","Vachellia_karroo(rbay)","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Vachellia",693,"med"
451,"h4_1","4 month",1,"d1","comcol","Combretum_collinum","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",521,"low"
452,"h4_1","4 month",1,"d2","colmop","Colophospermum_mopane","1 month post",1,"",20,35,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,170,150,"Colophospermum",478.5,"low"
453,"h4_1","4 month",1,"d3","vacsie","Vachellia_sieberiana","1 month post",1,"",20,50,NA,NA,NA,3,"","15-Mar-17","17/09/2016",179,159,150,"Vachellia",984,"high"
454,"h4_1","4 month",1,"d4","vaceri","Vachellia_erioloba","1 month post",1,"",40,105,NA,NA,NA,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
455,"h4_1","4 month",1,"d5","vacexu","Vachellia_exuvialis","1 month post",1,"",20,40,NA,NA,7,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",631,"med"
456,"h4_1","2 month",1,"d6","senmel","Senegalia_mellifera","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
457,"h4_1","2 month",1,"e1","sencaf","Senegalia_caffra","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","29/10/2016",137,117,90,"Senegalia",829.5,"high"
458,"h4_1","4 month",1,"e2","sennig","Senegalia_nigrescens","1 month post",1,"",10,25,NA,NA,NA,3,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
459,"h4_1","4 month",1,"e3","vaceri","Vachellia_erioloba","1 month post",1,"",20,35,NA,NA,NA,2,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
460,"h4_1","4 month",1,"e4","vacexu","Vachellia_exuvialis","1 month post",1,"",30,80,NA,NA,5,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",631,"med"
461,"h4_1","4 month",1,"e5","vacdav","Vachellia_davyi","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Vachellia",891,"high"
462,"h4_1","4 month",1,"e6","comcol","Combretum_collinum","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",521,"low"
464,"h4_1","4 month",1,"f2","vaceri","Vachellia_erioloba","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
465,"h4_1","4 month",1,"f3","colmop","Colophospermum_mopane","1 month post",1,"",30,50,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,170,150,"Colophospermum",478.5,"low"
466,"h4_1","2 month",1,"f4","sencaf","Senegalia_caffra","1 month post",1,"",20,50,NA,NA,NA,3,"","15-Mar-17","29/10/2016",137,117,90,"Senegalia",829.5,"high"
467,"h4_1","4 month",1,"f5","vaceri","Vachellia_erioloba","1 month post",1,"",30,95,NA,NA,NA,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
468,"h4_1","4 month",1,"f6","vacexu","Vachellia_exuvialis","1 month post",1,"",10,30,NA,NA,NA,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",631,"med"
469,"h4_1","4 month",1,"g1","comher","Combretum_hereroense","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
471,"h4_1","4 month",1,"g3","vacdav","Vachellia_davyi","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Vachellia",891,"high"
472,"h4_1","2 month",1,"g4","sencaf","Senegalia_caffra","1 month post",1,"",30,80,NA,NA,NA,3,"","15-Mar-17","29/10/2016",137,117,90,"Senegalia",829.5,"high"
473,"h4_1","2 month",1,"g5","senmel","Senegalia_mellifera","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","20/10/2016",146,126,90,"Senegalia",546,"low"
474,"h4_1","4 month",1,"g6","vackar","Vachellia_karroo(rbay)","1 month post",1,"",30,40,NA,NA,NA,2,"","15-Mar-17","16/09/2016",180,160,150,"Vachellia",693,"med"
475,"h4_1","4 month",1,"h1","vacdav","Vachellia_davyi","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Vachellia",891,"high"
476,"h4_1","4 month",1,"h2","commol","Combretum_molle","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",850,"high"
477,"h4_1","4 month",1,"h3","sennig","Senegalia_nigrescens","1 month post",1,"",30,60,NA,NA,NA,2,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
478,"h4_1","4 month",1,"h4","comcol","Combretum_collinum","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",521,"low"
479,"h4_1","4 month",1,"h5","comher","Combretum_hereroense","1 month post",1,"",20,40,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
480,"h4_1","4 month",1,"h6","colmop","Colophospermum_mopane","1 month post",1,"",50,120,NA,NA,NA,3,"","15-Mar-17","06/09/2016",190,170,150,"Colophospermum",478.5,"low"
481,"h4_2","4 month",2,"a1","colmop","Colophospermum_mopane","1 month post",1,"",30,50,NA,NA,NA,2,"","15-Mar-17","06/09/2016",190,170,150,"Colophospermum",478.5,"low"
482,"h4_2","4 month",2,"a2","vacsie","Vachellia_sieberiana","1 month post",1,"",75,95,NA,NA,7,2,"","15-Mar-17","17/09/2016",179,159,150,"Vachellia",984,"high"
483,"h4_2","4 month",2,"a3","sennig","Senegalia_nigrescens","1 month post",1,"",20,25,NA,NA,NA,2,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
484,"h4_2","4 month",2,"a4","vaceri","Vachellia_erioloba","1 month post",1,"",5,10,NA,NA,NA,2,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
485,"h4_2","4 month",2,"a5","comcol","Combretum_collinum","1 month post",1,"",80,80,NA,NA,NA,1,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",521,"low"
486,"h4_2","4 month",2,"a6","vaceri","Vachellia_erioloba","1 month post",1,"",5,10,NA,NA,NA,2,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",424,"low"
487,"h4_2","4 month",2,"b1","commol","Combretum_molle","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,160,150,"Combretum",850,"high"
489,"h4_2","4 month",2,"b3","vacexu","Vachellia_exuvialis","1 month post",1,"",80,180,NA,NA,5,3,"","15-Mar-17","11/09/2016",185,165,150,"Vachellia",631,"med"
490,"h4_2","4 month",2,"b4","comapi","Combretum_apiculatum","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Combretum",618,"med"
491,"h4_2","4 month",2,"b5","vacdav","Vachellia_davyi","1 month post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,164,150,"Vachellia",891,"high"
492,"h4_2","4 month",2,"b6","comher","Combretum_hereroense","1 month post",1,"",40,80,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
493,"h4_2","4 month",2,"c1","sennig","Senegalia_nigrescens","1 month post",1,"",20,20,NA,NA,NA,1,"","15-Mar-17","08/09/2016",188,168,150,"Senegalia",673.5,"med"
494,"h4_2","4 month",2,"c2","comher","Combretum_hereroense","1 month post",1,"",20,35,NA,NA,NA,2,"","15-Mar-17","10/09/2016",186,166,150,"Combretum",608.5,"med"
